photoobjId,ra,dec,petroR50_r,deVAB_r,seeing_r,run,rerun,camcol,field,Zoo1,image
587739097524928559,180.66712297,37.37746008,2.469246,0.7193134,1.517323,4504,40,3,149,U,fpC-004504-r3-0149.fit.gz
587739407866069141,212.67853884,32.26542959,2.007371,0.6900288,1.203338,4576,40,5,603,U,fpC-004576-r5-0603.fit.gz
587739407873736895,231.6512343,26.25835552,3.161896,0.9569067,1.322263,4576,40,5,720,U,fpC-004576-r5-0720.fit.gz
587739609697222796,174.25397152,32.56839454,1.957438,0.7899941,1.733899,4623,40,5,110,U,fpC-004623-r5-0110.fit.gz
587739609697222798,174.25017698,32.57076721,5.171574,0.7121893,1.733899,4623,40,5,110,U,fpC-004623-r5-0110.fit.gz
587739407850930189,171.03486813,34.6522599,2.641299,0.4752098,1.265284,4576,40,5,372,U,fpC-004576-r5-0372.fit.gz
587739098055180445,162.03494971,35.53749462,2.153523,0.6938376,1.397226,4504,40,4,48,U,fpC-004504-r4-0048.fit.gz
587739814777258295,234.33515917,22.37483254,1.64446,0.7678897,1.236428,4671,40,3,39,U,fpC-004671-r3-0039.fit.gz
587739721370697745,210.64890061,28.08989824,3.150353,0.5524316,1.493685,4649,40,5,176,U,fpC-004649-r5-0176.fit.gz
587739706878394558,228.34588699,22.2184512,2.671016,0.6218839,1.246719,4646,40,2,225,U,fpC-004646-r2-0225.fit.gz
587738195036209542,112.64485943,42.32906261,2.241483,0.8120787,1.225325,4294,40,2,16,U,fpC-004294-r2-0016.fit.gz
587739721910648925,218.40311468,26.69227248,1.830346,0.9155338,1.581532,4649,40,6,223,U,fpC-004649-r6-0223.fit.gz
587739721910648936,218.42475336,26.70276246,2.238422,0.876864,1.581532,4649,40,6,223,U,fpC-004649-r6-0223.fit.gz
587739815852310669,237.58497658,21.9260904,1.759218,0.5540264,1.395534,4671,40,5,59,U,fpC-004671-r5-0059.fit.gz
587739406264041704,233.2173846,24.26938017,1.535525,0.7372087,1.178309,4576,40,2,734,U,fpC-004576-r2-0734.fit.gz
587741392111599835,149.14573093,27.8508603,2.016626,0.9841542,1.128242,5038,40,5,155,U,fpC-005038-r5-0155.fit.gz
587739707944730716,210.67018309,27.85801998,1.627246,0.2774087,1.367299,4646,40,4,112,U,fpC-004646-r4-0112.fit.gz
587739707944730746,210.69356994,27.85458161,1.790281,0.8956285,1.367299,4646,40,4,112,U,fpC-004646-r4-0112.fit.gz
587739608624791669,177.83470986,32.02306093,2.279602,0.6891224,1.639621,4623,40,3,130,U,fpC-004623-r3-0130.fit.gz
587739608624791671,177.84161226,32.04195554,2.585103,0.9118082,1.639621,4623,40,3,130,U,fpC-004623-r3-0130.fit.gz
587739707947352250,217.31357743,26.2780582,1.302482,0.7257786,1.40049,4646,40,4,152,U,fpC-004646-r4-0152.fit.gz
587739708478849161,203.85537318,29.36265513,4.099676,0.4782797,1.326323,4646,40,5,70,U,fpC-004646-r5-0070.fit.gz
587739719226294390,217.81230928,24.77604239,2.150949,0.4389777,1.44273,4649,40,1,223,U,fpC-004649-r1-0223.fit.gz
587741421102694642,134.21581159,21.8303946,5.77856,0.7389625,1.424155,5045,40,3,156,U,fpC-005045-r3-0156.fit.gz
587739719226294498,217.8008866,24.79702089,2.333113,0.5410227,1.44273,4649,40,1,223,U,fpC-004649-r1-0223.fit.gz
587739506625871981,207.67852232,31.10616185,4.212008,0.8229579,1.341815,4599,40,5,230,U,fpC-004599-r5-0230.fit.gz
587739719763624065,218.99191482,24.72627858,2.442262,0.4491105,1.513463,4649,40,2,230,U,fpC-004649-r2-0230.fit.gz
587741421632356738,118.52179959,14.62569592,2.018898,0.6791045,1.368995,5045,40,4,46,U,fpC-005045-r4-0046.fit.gz
587739827662291092,208.74034164,25.13717945,2.374837,0.5447355,1.66705,4674,40,3,41,U,fpC-004674-r3-0041.fit.gz
587739719763624079,219.01031467,24.72034656,2.47735,0.3994951,1.513463,4649,40,2,230,U,fpC-004649-r2-0230.fit.gz
587739827674022085,236.41784219,17.69078499,1.595554,0.6454007,1.212586,4674,40,3,220,U,fpC-004674-r3-0220.fit.gz
587739648886505642,151.44563632,29.08574565,1.395938,0.9347841,1.409523,4632,40,6,75,U,fpC-004632-r6-0075.fit.gz
587739719217315941,195.18280122,28.41633291,2.818463,0.8677923,1.456261,4649,40,1,86,U,fpC-004649-r1-0086.fit.gz
587739706876887207,224.8735047,23.2698321,1.602905,0.4811281,1.338856,4646,40,2,202,U,fpC-004646-r2-0202.fit.gz
587739828203028546,218.25003015,23.61422652,1.686428,0.9238386,1.636749,4674,40,4,100,U,fpC-004674-r4-0100.fit.gz
587739720310063363,241.16491526,17.44149494,1.478003,0.4847567,1.466496,4649,40,3,376,U,fpC-004649-r3-0376.fit.gz
587739652643160289,235.29959245,22.71609155,3.173683,0.7851157,1.360614,4633,40,5,53,U,fpC-004633-r5-0053.fit.gz
587739407839461500,141.64028916,27.48799932,1.218986,0.9352233,1.351693,4576,40,5,197,U,fpC-004576-r5-0197.fit.gz
587741392112058520,150.27090768,28.17743989,1.705237,0.6962138,1.127704,5038,40,5,162,U,fpC-005038-r5-0162.fit.gz
587739706337394835,218.46964333,24.68264464,2.129682,0.6329639,1.237668,4646,40,1,162,U,fpC-004646-r1-0162.fit.gz
